Week,Total Doses Distributed
2/25/2022,174.9 M
2/18/2022,174.8 M
2/4/2022,174.5 M
1/28/2022,174.3 M
1/21/2022,174.1 M
1/14/2022,173.8 M
1/7/2022,173.3 M
12/31/2021,172.7 M
12/24/2021,172.5 M
12/17/2021,172.0 M
12/10/2021,170.2 M
12/3/2021,169.1 M
11/26/2021,167.8 M
11/19/2021,166.9 M
11/12/2021,165.2 M
11/5/2021,162.5 M
10/29/2021,158.7 M
10/21/2021,149.9 M
10/15/2021,139.7 M
10/8/2021,128.6 M
10/1/2021,114.6 M
9/24/2021,100.8 M
9/17/2021,84.8 M
9/10/2021,66.8 M
9/3/2021,53.2 M
8/14/2020,13.7 M
