Week,Total Doses Distributed
02/23/2018,≈ 155.3 million doses
02/09/2018,≈ 154.7 million doses
02/02/2018,≈ 154.3 million doses
01/26/2018,≈ 154.2 million doses
01/12/2018,≈ 152.1 million doses
01/05/2018,≈ 151.5 million doses
12/15/2017,≈ 150.3 million doses
12/8/2017,≈ 149.6 million doses
12/1/2017,≈ 148.5 million doses
11/24/2017,≈ 148.2 million doses
10/20/2017,≈ 130.2 million doses
10/13/2017,≈ 123.3 million doses
10/06/2017,≈ 117.2 million doses
09/29/2017,≈ 104.7 million doses
09/15/2017,≈ 73.7 million doses
