Week,Total Doses Distributed
03/03/2017,≈ 145.9 million doses
02/24/2017,≈ 145.8 million doses
02/17/2017,≈ 145.7 million doses
02/10/2017,≈ 145.6 million doses
02/03/2017,≈ 145.2 million doses
01/27/2017,≈ 145.0 million doses
01/13/2017,≈ 144.6 million doses
12/30/2016,≈ 143.7 million doses
12/16/2016,≈ 143.2 million doses
12/02/2016,≈ 142.0 million doses
11/25/2016,≈ 139.6 million doses
11/11/2016,≈ 139.0 million doses
11/04/2016,≈ 136.1 million doses
10/28/2016,≈ 134.0 million doses
10/21/2016,≈ 130.3 million doses
10/14/2016,≈ 124.5 million doses
10/07/2016,≈ 116.3 million doses
09/23/2016,≈ 108.8 million doses
09/16/2016,≈ 93.2 million doses
09/09/2016,≈ 69.7 million doses
09/02/2016,≈ 52.7 million doses
